id,title,author,description,rating,pageCount,imageUrl,category,language,price,isFree,publishedYear
book_1,Technology Book 1: Advanced Guide,Jane Austen,An in-depth exploration of technology concepts and practices. Perfect for both beginners and experienced professionals.,4.0,603,https://picsum.photos/400/600?random=101,Technology,Chinese,7.96,False,2022
book_2,Biography Book 2: Advanced Guide,J.K. Rowling,An in-depth exploration of biography concepts and practices. Perfect for both beginners and experienced professionals.,3.9,403,https://picsum.photos/400/600?random=102,Biography,Spanish,3.87,False,2007
book_3,Non-Fiction Book 3: Master Guide,Eric Evans,An in-depth exploration of non-fiction concepts and practices. Perfect for both beginners and experienced professionals.,4.0,703,https://picsum.photos/400/600?random=103,Non-Fiction,Spanish,7.64,False,1995
book_4,History Book 4: Advanced Guide,Robert C. Martin,An in-depth exploration of history concepts and practices. Perfect for both beginners and experienced professionals.,4.1,705,https://picsum.photos/400/600?random=104,History,Spanish,19.47,False,2019
book_5,Programming Book 5: Advanced Guide,Robert C. Martin,An in-depth exploration of programming concepts and practices. Perfect for both beginners and experienced professionals.,4.8,739,https://picsum.photos/400/600?random=105,Programming,French,19.5,False,2014
book_6,History Book 6: Advanced Guide,Kent Beck,An in-depth exploration of history concepts and practices. Perfect for both beginners and experienced professionals.,4.3,709,https://picsum.photos/400/600?random=106,History,French,1.45,False,2004
book_7,History Book 7: Complete Guide,Mark Twain,An in-depth exploration of history concepts and practices. Perfect for both beginners and experienced professionals.,4.6,628,https://picsum.photos/400/600?random=107,History,German,33.14,False,1998
book_8,History Book 8: Complete Guide,Donald Knuth,An in-depth exploration of history concepts and practices. Perfect for both beginners and experienced professionals.,3.7,622,https://picsum.photos/400/600?random=108,History,German,22.73,False,2001
book_9,History Book 9: Complete Guide,Dave Thomas,An in-depth exploration of history concepts and practices. Perfect for both beginners and experienced professionals.,3.9,581,https://picsum.photos/400/600?random=109,History,English,2.6,False,2006
book_10,Fiction Book 10: Master Guide,Kent Beck,An in-depth exploration of fiction concepts and practices. Perfect for both beginners and experienced professionals.,4.5,191,https://picsum.photos/400/600?random=110,Fiction,English,11.92,False,1991
book_11,Design Book 11: Essential Guide,Stephen King,An in-depth exploration of design concepts and practices. Perfect for both beginners and experienced professionals.,4.3,373,https://picsum.photos/400/600?random=111,Design,French,0.0,True,2019
book_12,Design Book 12: Complete Guide,Michael Feathers,An in-depth exploration of design concepts and practices. Perfect for both beginners and experienced professionals.,4.7,317,https://picsum.photos/400/600?random=112,Design,English,28.78,False,2009
book_13,History Book 13: Master Guide,Martin Fowler,An in-depth exploration of history concepts and practices. Perfect for both beginners and experienced professionals.,4.1,353,https://picsum.photos/400/600?random=113,History,French,30.01,False,1994
book_14,Technology Book 14: Advanced Guide,J.K. Rowling,An in-depth exploration of technology concepts and practices. Perfect for both beginners and experienced professionals.,4.7,505,https://picsum.photos/400/600?random=114,Technology,French,0.0,True,2024
book_15,Programming Book 15: Advanced Guide,Steve McConnell,An in-depth exploration of programming concepts and practices. Perfect for both beginners and experienced professionals.,4.8,651,https://picsum.photos/400/600?random=115,Programming,German,21.77,False,1996
book_16,Non-Fiction Book 16: Advanced Guide,Andy Hunt,An in-depth exploration of non-fiction concepts and practices. Perfect for both beginners and experienced professionals.,4.4,701,https://picsum.photos/400/600?random=116,Non-Fiction,Chinese,42.58,False,2020
book_17,Design Book 17: Advanced Guide,Michael Feathers,An in-depth exploration of design concepts and practices. Perfect for both beginners and experienced professionals.,3.9,611,https://picsum.photos/400/600?random=117,Design,Chinese,16.82,False,2005
book_18,Science Book 18: Essential Guide,Steve McConnell,An in-depth exploration of science concepts and practices. Perfect for both beginners and experienced professionals.,3.8,367,https://picsum.photos/400/600?random=118,Science,French,35.05,False,2012
book_19,Programming Book 19: Master Guide,George Orwell,An in-depth exploration of programming concepts and practices. Perfect for both beginners and experienced professionals.,4.3,345,https://picsum.photos/400/600?random=119,Programming,German,37.9,False,1995
book_20,Biography Book 20: Essential Guide,Kent Beck,An in-depth exploration of biography concepts and practices. Perfect for both beginners and experienced professionals.,4.2,167,https://picsum.photos/400/600?random=120,Biography,German,15.31,False,1995
book_21,Biography Book 21: Essential Guide,Steve McConnell,An in-depth exploration of biography concepts and practices. Perfect for both beginners and experienced professionals.,4.3,502,https://picsum.photos/400/600?random=121,Biography,German,12.57,False,2017
book_22,Fiction Book 22: Master Guide,Kent Beck,An in-depth exploration of fiction concepts and practices. Perfect for both beginners and experienced professionals.,4.0,698,https://picsum.photos/400/600?random=122,Fiction,German,29.47,False,2001
book_23,Technology Book 23: Essential Guide,Kent Beck,An in-depth exploration of technology concepts and practices. Perfect for both beginners and experienced professionals.,3.9,252,https://picsum.photos/400/600?random=123,Technology,French,0.0,True,2002
book_24,Self-Help Book 24: Essential Guide,George Orwell,An in-depth exploration of self-help concepts and practices. Perfect for both beginners and experienced professionals.,3.7,196,https://picsum.photos/400/600?random=124,Self-Help,Spanish,37.63,False,1993
book_25,Programming Book 25: Advanced Guide,Steve McConnell,An in-depth exploration of programming concepts and practices. Perfect for both beginners and experienced professionals.,4.4,630,https://picsum.photos/400/600?random=125,Programming,Spanish,12.62,False,2020
book_26,Design Book 26: Complete Guide,Michael Feathers,An in-depth exploration of design concepts and practices. Perfect for both beginners and experienced professionals.,4.7,560,https://picsum.photos/400/600?random=126,Design,English,0.0,True,2021
book_27,Non-Fiction Book 27: Advanced Guide,Michael Feathers,An in-depth exploration of non-fiction concepts and practices. Perfect for both beginners and experienced professionals.,3.6,404,https://picsum.photos/400/600?random=127,Non-Fiction,Chinese,11.28,False,1997
book_28,Biography Book 28: Essential Guide,Michael Feathers,An in-depth exploration of biography concepts and practices. Perfect for both beginners and experienced professionals.,4.9,454,https://picsum.photos/400/600?random=128,Biography,Chinese,0.0,True,2017
book_29,Design Book 29: Essential Guide,J.K. Rowling,An in-depth exploration of design concepts and practices. Perfect for both beginners and experienced professionals.,4.9,362,https://picsum.photos/400/600?random=129,Design,English,0.0,True,2003
book_30,Design Book 30: Advanced Guide,Donald Knuth,An in-depth exploration of design concepts and practices. Perfect for both beginners and experienced professionals.,3.7,568,https://picsum.photos/400/600?random=130,Design,English,35.34,False,2018
book_31,Biography Book 31: Master Guide,Andy Hunt,An in-depth exploration of biography concepts and practices. Perfect for both beginners and experienced professionals.,3.6,389,https://picsum.photos/400/600?random=131,Biography,English,32.38,False,2006
book_32,Business Book 32: Essential Guide,Dave Thomas,An in-depth exploration of business concepts and practices. Perfect for both beginners and experienced professionals.,3.6,319,https://picsum.photos/400/600?random=132,Business,English,15.2,False,2009
book_33,Non-Fiction Book 33: Complete Guide,Michael Feathers,An in-depth exploration of non-fiction concepts and practices. Perfect for both beginners and experienced professionals.,4.3,655,https://picsum.photos/400/600?random=133,Non-Fiction,English,36.72,False,2018
book_34,Programming Book 34: Essential Guide,Michael Feathers,An in-depth exploration of programming concepts and practices. Perfect for both beginners and experienced professionals.,3.6,739,https://picsum.photos/400/600?random=134,Programming,English,8.76,False,1991
book_35,Biography Book 35: Advanced Guide,Martin Fowler,An in-depth exploration of biography concepts and practices. Perfect for both beginners and experienced professionals.,4.9,335,https://picsum.photos/400/600?random=135,Biography,German,16.66,False,2017
book_36,Business Book 36: Advanced Guide,Jane Austen,An in-depth exploration of business concepts and practices. Perfect for both beginners and experienced professionals.,4.0,657,https://picsum.photos/400/600?random=136,Business,Chinese,0.0,True,2008
book_37,Non-Fiction Book 37: Complete Guide,J.K. Rowling,An in-depth exploration of non-fiction concepts and practices. Perfect for both beginners and experienced professionals.,4.0,563,https://picsum.photos/400/600?random=137,Non-Fiction,Chinese,2.71,False,2022
book_38,Technology Book 38: Complete Guide,Kent Beck,An in-depth exploration of technology concepts and practices. Perfect for both beginners and experienced professionals.,4.6,790,https://picsum.photos/400/600?random=138,Technology,French,46.37,False,2018
book_39,Biography Book 39: Master Guide,Donald Knuth,An in-depth exploration of biography concepts and practices. Perfect for both beginners and experienced professionals.,3.7,795,https://picsum.photos/400/600?random=139,Biography,Chinese,0.0,True,2005
book_40,Fiction Book 40: Complete Guide,J.K. Rowling,An in-depth exploration of fiction concepts and practices. Perfect for both beginners and experienced professionals.,5.0,266,https://picsum.photos/400/600?random=140,Fiction,Spanish,35.82,False,2019
book_41,Non-Fiction Book 41: Master Guide,Dave Thomas,An in-depth exploration of non-fiction concepts and practices. Perfect for both beginners and experienced professionals.,4.1,644,https://picsum.photos/400/600?random=141,Non-Fiction,Chinese,0.0,True,2020
book_42,Technology Book 42: Essential Guide,Stephen King,An in-depth exploration of technology concepts and practices. Perfect for both beginners and experienced professionals.,4.3,289,https://picsum.photos/400/600?random=142,Technology,German,39.38,False,1994
book_43,Programming Book 43: Master Guide,Dave Thomas,An in-depth exploration of programming concepts and practices. Perfect for both beginners and experienced professionals.,3.9,455,https://picsum.photos/400/600?random=143,Programming,Chinese,16.62,False,2021
book_44,History Book 44: Master Guide,Michael Feathers,An in-depth exploration of history concepts and practices. Perfect for both beginners and experienced professionals.,4.2,479,https://picsum.photos/400/600?random=144,History,German,38.77,False,2002
book_45,Biography Book 45: Master Guide,Dave Thomas,An in-depth exploration of biography concepts and practices. Perfect for both beginners and experienced professionals.,4.6,540,https://picsum.photos/400/600?random=145,Biography,English,0.0,True,2014
book_46,Science Book 46: Advanced Guide,Robert C. Martin,An in-depth exploration of science concepts and practices. Perfect for both beginners and experienced professionals.,4.8,600,https://picsum.photos/400/600?random=146,Science,Spanish,32.73,False,1996
book_47,Biography Book 47: Advanced Guide,J.K. Rowling,An in-depth exploration of biography concepts and practices. Perfect for both beginners and experienced professionals.,4.7,421,https://picsum.photos/400/600?random=147,Biography,English,42.61,False,2011
book_48,History Book 48: Complete Guide,Michael Feathers,An in-depth exploration of history concepts and practices. Perfect for both beginners and experienced professionals.,4.9,791,https://picsum.photos/400/600?random=148,History,English,34.21,False,2021
book_49,Fiction Book 49: Complete Guide,Dave Thomas,An in-depth exploration of fiction concepts and practices. Perfect for both beginners and experienced professionals.,4.6,594,https://picsum.photos/400/600?random=149,Fiction,Spanish,45.16,False,1996
book_50,Programming Book 50: Master Guide,Kent Beck,An in-depth exploration of programming concepts and practices. Perfect for both beginners and experienced professionals.,3.9,533,https://picsum.photos/400/600?random=150,Programming,Chinese,34.08,False,2017
